articles_count,authfull,books_count,books_pct,cambridge_count,cambridge_pct,citation_coverage,country,coverage_ratio,elsevier_citations,elsevier_citations_pct,elsevier_count,elsevier_pct,field,field_type,frontiers_count,institution,match_quality,mdpi_count,oa_count,oa_pct,oa_publisher_count,oa_publisher_pct,openalex_citations,openalex_found,openalex_id,openalex_name,openalex_pubs,oxford_count,oxford_pct,plos_count,publisher_counts,sample_id,sample_stratum,scopus_citations,scopus_h_index,scopus_pubs,springer_count,springer_pct,total_citations,total_works,wiley_count,wiley_pct
,"Goitein, Shelomo Dov F.",,,,,,,,,,,,History,book_heavy,,,not_found,,,,,,,False,,,,,,,,31,anomaly,333,13,16,,,,,,
91.0,"Trachtenberg, Marc",49.0,35.0,,,0.2174672489082969,,0.2071428571428571,15.0,0.6550218340611353,4.0,2.857142857142857,History,book_heavy,0.0,,good,,17.0,12.142857142857142,0.0,0.0,2290.0,True,https://openalex.org/A5109372175,Marc Trachtenberg,140.0,,,0.0,"{""Other"": 74, ""Unknown"": 28, ""Oxford"": 12, ""Cambridge"": 11, ""Taylor & Francis"": 8, ""Elsevier"": 4, ""Springer Nature"": 3}",32,anomaly,498,9,29,3.0,2.142857142857143,2290.0,140.0,0.0,0.0
50.0,"Baldwin, Peter C.",17.0,25.37313432835821,,,2.3118279569892475,,0.3432835820895522,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,8.0,11.940298507462686,0.0,0.0,186.0,True,https://openalex.org/A5060325047,Peter C. Baldwin,67.0,,,0.0,"{""Unknown"": 39, ""Other"": 18, ""Oxford"": 10}",33,anomaly,430,10,23,0.0,0.0,186.0,67.0,0.0,0.0
69.0,"Stockwell, A. J.",0.0,0.0,,,0.1046578493387004,,0.5797101449275363,79.0,2.2714203565267392,8.0,11.594202898550725,History,book_heavy,0.0,,good,,15.0,21.73913043478261,0.0,0.0,3478.0,True,https://openalex.org/A5008827084,Jana A. Stockwell,69.0,,,0.0,"{""Other"": 46, ""Elsevier"": 8, ""Wiley"": 6, ""Springer Nature"": 4, ""Unknown"": 3, ""Oxford"": 2}",34,anomaly,364,12,40,4.0,5.797101449275362,3478.0,69.0,6.0,8.695652173913043
254.0,"Mele, Alfred R.",198.0,43.80530973451327,,,0.3215692331454166,,0.4004424778761062,206.0,1.5908564367904856,6.0,1.327433628318584,Philosophy,book_heavy,2.0,,good,,15.0,3.3185840707964607,2.0,0.4424778761061947,12949.0,True,https://openalex.org/A5029534659,Alfred R. Mele,452.0,,,0.0,"{""Unknown"": 160, ""Oxford"": 83, ""Other"": 67, ""Springer Nature"": 50, ""Wiley"": 40, ""Cambridge"": 23, ""Taylor & Francis"": 21, ""Elsevier"": 6, ""Frontiers"": 2}",35,top_quartile,4164,30,181,50.0,11.061946902654867,12949.0,452.0,40.0,8.849557522123893
748.0,"Floridi, Luciano",209.0,21.83908045977012,,,0.4412856933050794,,0.3563218390804598,1118.0,2.345634978914462,10.0,1.044932079414838,Philosophy,book_heavy,2.0,,good,,540.0,56.42633228840125,4.0,0.4179728317659352,47663.0,True,https://openalex.org/A5046574356,Luciano Floridi,957.0,,,2.0,"{""Oxford"": 342, ""Springer Nature"": 266, ""Unknown"": 161, ""Other"": 129, ""Wiley"": 15, ""Cambridge"": 13, ""Taylor & Francis"": 11, ""Elsevier"": 10, ""ACM"": 4, ""PLOS"": 2, ""IEEE"": 2, ""Frontiers"": 2}",36,top_quartile,21033,69,341,266.0,27.79519331243469,47663.0,957.0,15.0,1.5673981191222568
78.0,"Stanley, Jason",45.0,36.58536585365854,,,0.4761050033654925,,0.3658536585365853,3.0,0.0336549248373345,1.0,0.8130081300813009,Philosophy,book_heavy,1.0,,good,,21.0,17.073170731707318,1.0,0.8130081300813009,8914.0,True,https://openalex.org/A5113666379,Jason Stanley,123.0,,,0.0,"{""Unknown"": 45, ""Other"": 31, ""Wiley"": 18, ""Oxford"": 16, ""Springer Nature"": 6, ""IEEE"": 3, ""Cambridge"": 2, ""Frontiers"": 1, ""Elsevier"": 1}",37,top_quartile,4244,21,45,6.0,4.878048780487805,8914.0,123.0,18.0,14.634146341463412
342.0,"Pettit, Philip N.",235.0,40.72790294627383,,,0.2750794371311847,,0.4228769497400346,107.0,0.3736163972205733,5.0,0.8665511265164645,Philosophy,book_heavy,0.0,,good,,95.0,16.464471403812826,0.0,0.0,28639.0,True,https://openalex.org/A5059016534,Philip Pettit,577.0,,,0.0,"{""Unknown"": 162, ""Other"": 137, ""Oxford"": 121, ""Cambridge"": 55, ""Taylor & Francis"": 37, ""Wiley"": 35, ""Springer Nature"": 25, ""Elsevier"": 5}",38,top_quartile,7878,45,244,25.0,4.332755632582322,28639.0,577.0,35.0,6.065857885615252
212.0,"Hausman, Daniel M.",229.0,51.92743764172335,,,0.3528062764031382,,0.2766439909297052,46.0,0.5552202776101388,11.0,2.494331065759637,Philosophy,book_heavy,0.0,,good,,48.0,10.884353741496598,0.0,0.0,8285.0,True,https://openalex.org/A5065428071,Daniel M. Hausman,441.0,,,0.0,"{""Cambridge"": 194, ""Other"": 74, ""Unknown"": 62, ""Oxford"": 44, ""Taylor & Francis"": 22, ""Springer Nature"": 19, ""Wiley"": 15, ""Elsevier"": 11}",39,top_quartile,2923,24,122,19.0,4.308390022675737,8285.0,441.0,15.0,3.4013605442176877
334.0,"Levy, Neil L.",135.0,28.78464818763326,,,0.5118309212037675,,0.4968017057569296,545.0,6.26005053985757,20.0,4.264392324093817,Philosophy,book_heavy,3.0,,good,,137.0,29.21108742004264,5.0,1.0660980810234542,8706.0,True,https://openalex.org/A5051836354,Neil Levy,469.0,,,2.0,"{""Unknown"": 146, ""Other"": 102, ""Springer Nature"": 51, ""Taylor & Francis"": 47, ""Oxford"": 46, ""Wiley"": 35, ""Elsevier"": 20, ""Cambridge"": 17, ""Frontiers"": 3, ""PLOS"": 2}",40,top_quartile,4456,35,233,51.0,10.874200426439232,8706.0,469.0,35.0,7.462686567164178
,"Lopes, Dominic Mc Iver",,,,,,,,,,,,Philosophy,book_heavy,,,not_found,,,,,,,False,,,,,,,,41,bottom_quartile,1146,18,68,,,,,,
74.0,"Brown, Jessica A.",0.0,0.0,,,0.3454481298517995,,0.6756756756756757,348.0,12.279463655610446,16.0,21.62162162162162,Philosophy,book_heavy,0.0,,good,,51.0,68.91891891891892,2.0,2.702702702702702,2834.0,True,https://openalex.org/A5035191744,Jessica A. Brown,74.0,,,2.0,"{""Other"": 23, ""Elsevier"": 16, ""Springer Nature"": 8, ""ACS"": 8, ""Wiley"": 6, ""Oxford"": 5, ""Unknown"": 4, ""PLOS"": 2, ""Taylor & Francis"": 2}",42,bottom_quartile,979,16,50,8.0,10.81081081081081,2834.0,74.0,6.0,8.108108108108109
570.0,"Owen, David",188.0,24.80211081794195,,,0.0801112288135593,,0.1200527704485488,2731.0,18.081302966101696,78.0,10.29023746701847,Philosophy,book_heavy,0.0,,good,,157.0,20.71240105540897,1.0,0.1319261213720316,15104.0,True,https://openalex.org/A5051884291,David Owen,758.0,,,1.0,"{""Other"": 274, ""Unknown"": 156, ""Elsevier"": 78, ""Wiley"": 73, ""Springer Nature"": 60, ""Oxford"": 53, ""Taylor & Francis"": 31, ""Cambridge"": 20, ""ACS"": 12, ""PLOS"": 1}",43,bottom_quartile,1210,18,91,60.0,7.9155672823219,15104.0,758.0,73.0,9.630606860158313
181.0,"Varzi, Achille C.",50.0,21.645021645021643,,,0.2696534234995773,,0.3203463203463203,251.0,5.304311073541842,2.0,0.8658008658008658,Philosophy,book_heavy,0.0,,good,,61.0,26.40692640692641,0.0,0.0,4732.0,True,https://openalex.org/A5009197655,Achille C. Varzi,231.0,,,0.0,"{""Unknown"": 95, ""Other"": 51, ""Springer Nature"": 31, ""Oxford"": 22, ""Wiley"": 19, ""Taylor & Francis"": 6, ""Cambridge"": 5, ""Elsevier"": 2}",44,bottom_quartile,1276,19,74,31.0,13.41991341991342,4732.0,231.0,19.0,8.225108225108226
100.0,"Hatfield, Gary C.",118.0,54.12844036697248,,,0.1365770936603182,,0.3394495412844037,372.0,4.852595877902426,6.0,2.752293577981652,Philosophy,book_heavy,0.0,,good,,18.0,8.256880733944955,0.0,0.0,7666.0,True,https://openalex.org/A5041018940,Gary Hatfield,218.0,,,0.0,"{""Unknown"": 83, ""Other"": 50, ""Cambridge"": 43, ""Oxford"": 13, ""Springer Nature"": 13, ""Taylor & Francis"": 7, ""Elsevier"": 6, ""Wiley"": 3}",45,bottom_quartile,1047,18,74,13.0,5.963302752293578,7666.0,218.0,3.0,1.376146788990826
135.0,"Ihde, Don",139.0,50.72992700729927,,,0.0833185918981072,,0.22992700729927,7.0,0.0619140279497611,1.0,0.364963503649635,Philosophy,book_heavy,0.0,,good,,26.0,9.48905109489051,0.0,0.0,11306.0,True,https://openalex.org/A5001329544,Don Ihde,274.0,,,0.0,"{""Unknown"": 106, ""Other"": 93, ""Springer Nature"": 53, ""Wiley"": 9, ""Taylor & Francis"": 8, ""Cambridge"": 3, ""Oxford"": 1, ""Elsevier"": 1}",46,bottom_quartile,942,17,63,53.0,19.34306569343066,11306.0,274.0,9.0,3.2846715328467155
